score,date
1393,5/18/2021 18:32
4256,5/18/2021 18:33
1020,5/18/2021 20:32
1713,5/18/2021 20:32
1713,5/18/2021 20:32
2985,5/18/2021 20:32
2988,5/18/2021 20:33
3188,5/18/2021 20:33
3192,5/18/2021 20:33
3197,5/18/2021 20:33
3204,5/18/2021 20:33
547,5/18/2021 20:36
854,5/18/2021 20:36
0,5/18/2021 20:36
2509,5/18/2021 20:37
3609,5/18/2021 20:37
733,5/18/2021 20:45
733,5/18/2021 20:45
0,5/18/2021 20:45
0,5/18/2021 20:46
0,5/18/2021 20:46
2029,5/18/2021 20:46
2029,5/18/2021 20:46
4264,5/18/2021 20:46
4266,5/18/2021 20:47
4266,5/18/2021 20:47
4558,5/18/2021 20:47
4558,5/18/2021 20:47
4563,5/18/2021 20:47
4563,5/18/2021 20:47
4568,5/18/2021 20:47
4568,5/18/2021 20:47
4573,5/18/2021 20:47
4573,5/18/2021 20:47
4580,5/18/2021 20:47
4580,5/18/2021 20:47
4680,5/18/2021 20:47
4680,5/18/2021 20:47
4684,5/18/2021 20:47
4684,5/18/2021 20:47
4689,5/18/2021 20:47
4689,5/18/2021 20:47
4694,5/18/2021 20:47
4694,5/18/2021 20:47
4698,5/18/2021 20:47
4698,5/18/2021 20:47
4760,5/18/2021 20:47
4760,5/18/2021 20:47
4769,5/18/2021 20:47
4769,5/18/2021 20:47
4774,5/18/2021 20:47
4774,5/18/2021 20:47
4828,5/18/2021 20:47
4828,5/18/2021 20:47
4832,5/18/2021 20:47
4832,5/18/2021 20:47
4837,5/18/2021 20:47
4837,5/18/2021 20:47
4841,5/18/2021 20:47
4841,5/18/2021 20:47
4846,5/18/2021 20:47
4846,5/18/2021 20:47
4882,5/18/2021 20:47
4882,5/18/2021 20:47
4887,5/18/2021 20:47
4887,5/18/2021 20:47
4893,5/18/2021 20:47
4893,5/18/2021 20:47
1352,5/18/2021 21:00
1352,5/18/2021 21:00
1237,5/18/2021 21:01
1237,5/18/2021 21:01
981,5/18/2021 21:01
180,5/20/2021 10:32
180,5/20/2021 10:32
40,5/20/2021 10:33
444,5/20/2021 10:37
14,5/20/2021 10:37
14,5/20/2021 10:37
614,5/20/2021 10:37
96,5/20/2021 10:37
96,5/20/2021 10:37
1657,5/20/2021 10:38
1107,5/20/2021 10:39
1830,5/20/2021 10:39
1764,5/20/2021 10:53
3126,5/20/2021 10:53
881,5/20/2021 11:36
1118,5/20/2021 11:36
0,5/20/2021 11:36
1955,5/20/2021 17:16
2443,5/20/2021 17:16
0,5/20/2021 17:16
2995,5/20/2021 17:16
0,5/20/2021 17:16
4631,5/20/2021 17:16
1035,5/20/2021 17:18
3017,5/20/2021 17:19
3221,5/20/2021 17:19
0,5/20/2021 17:19
1243,5/20/2021 17:23
2384,5/20/2021 17:23
348,5/20/2021 17:33
752,5/20/2021 17:33
590,5/20/2021 17:36
707,5/20/2021 17:36
365,5/20/2021 18:03
2,5/20/2021 18:03
2,5/20/2021 18:03
29,5/20/2021 18:03
29,5/20/2021 18:03
29,5/20/2021 18:03
1309,5/20/2021 18:04
824,5/20/2021 18:07
631,5/20/2021 18:07
2214,5/20/2021 18:08
3402,5/20/2021 18:08
1249,5/20/2021 18:08
1377,5/20/2021 18:11
728,5/20/2021 18:12
3486,5/20/2021 18:13
279,5/20/2021 18:13
279,5/20/2021 18:13
1378,5/20/2021 18:14
1904,5/20/2021 18:14
578,5/20/2021 18:14
578,5/20/2021 18:14
823,5/20/2021 18:14
823,5/20/2021 18:14
2083,5/20/2021 18:14
1855,5/20/2021 18:14
1387,5/20/2021 18:15
922,5/20/2021 18:15
687,5/20/2021 18:15
565,5/20/2021 18:15
1840,5/20/2021 18:16
343,5/20/2021 18:16
343,5/20/2021 18:16
343,5/20/2021 18:16
1844,5/20/2021 18:16
694,5/20/2021 18:16
269,5/20/2021 18:16
269,5/20/2021 18:16
260,5/20/2021 18:16
260,5/20/2021 18:16
3178,5/20/2021 18:17
482,5/20/2021 18:17
482,5/20/2021 18:17
3251,5/20/2021 18:17
5662,5/20/2021 18:18
1393,5/20/2021 18:18
3083,5/20/2021 18:21
790,5/20/2021 18:21
790,5/20/2021 18:21
1676,5/20/2021 18:30
4000,5/20/2021 18:30
1008,5/20/2021 18:30
588,5/20/2021 18:30
572,5/20/2021 18:30
527,5/20/2021 18:30
527,5/20/2021 18:30
576,5/20/2021 18:30
584,5/20/2021 18:41
39,5/20/2021 18:41
39,5/20/2021 18:41
1884,5/20/2021 18:41
1136,5/20/2021 18:42
2569,5/20/2021 18:42
89,5/20/2021 18:42
89,5/20/2021 18:42
472,5/20/2021 18:42
149,5/20/2021 18:42
149,5/20/2021 18:42
187,5/20/2021 18:42
1828,5/20/2021 18:42
1510,5/20/2021 18:43
5693,5/20/2021 18:44
2532,5/20/2021 18:44
3066,5/20/2021 18:45
1572,5/20/2021 18:45
1324,5/20/2021 18:45
1141,5/20/2021 18:46
850,5/20/2021 18:46
1674,5/20/2021 18:48
7114,5/20/2021 18:49
1235,5/20/2021 18:49
12559,5/23/2021 15:44
1263,5/23/2021 15:44
1432,5/23/2021 15:44
1308,5/23/2021 15:45
1193,5/23/2021 15:45
3392,5/23/2021 15:45
501,5/23/2021 15:46
92,5/23/2021 15:46
92,5/23/2021 15:46
1366,5/23/2021 15:46
358,5/23/2021 15:46
848,5/23/2021 15:46
207,5/23/2021 15:46
207,5/23/2021 15:46
1059,5/23/2021 15:47
1253,5/23/2021 15:47
430,5/23/2021 15:47
430,5/23/2021 15:47
6047,5/23/2021 15:48
6047,5/23/2021 15:48
912,5/23/2021 15:48
912,5/23/2021 15:48
6685,5/23/2021 15:49
1405,5/25/2021 17:40
1538,5/25/2021 17:40
1809,5/25/2021 17:40
666,5/25/2021 17:41
613,5/25/2021 17:41
112,5/25/2021 17:41
112,5/25/2021 17:41
751,5/25/2021 17:41
635,5/25/2021 17:49
351,5/25/2021 17:49
3420,5/25/2021 17:53
958,5/25/2021 17:53
1181,5/25/2021 17:53
3080,5/25/2021 17:53
1195,5/25/2021 17:53
1068,5/25/2021 17:54
1866,5/25/2021 17:54
3004,5/25/2021 17:54
1907,5/25/2021 17:55
428,5/25/2021 17:56
585,5/25/2021 17:56
2487,5/25/2021 17:56
593,5/25/2021 17:56
966,5/25/2021 17:56
1035,5/25/2021 17:57
396,5/25/2021 17:57
2161,5/25/2021 18:14
1710,5/25/2021 18:15
1482,5/25/2021 18:15
1657,5/25/2021 18:15
2255,5/25/2021 18:15
2705,5/25/2021 18:16
1032,5/25/2021 18:16
746,5/25/2021 18:16
804,5/25/2021 18:16
1065,5/25/2021 18:16
764,5/25/2021 18:19
738,5/25/2021 18:19
1195,5/25/2021 18:20
500,5/25/2021 18:20
1014,5/25/2021 18:20
1033,5/25/2021 18:20
759,5/25/2021 18:20
1063,5/25/2021 18:20
742,5/25/2021 18:21
1445,5/25/2021 18:22
2264,5/25/2021 18:48
1883,5/25/2021 18:49
3017,5/25/2021 18:49
2821,5/25/2021 18:50
6858,5/25/2021 18:51
2329,5/25/2021 18:51
968,5/25/2021 18:51
1207,5/25/2021 18:52
5691,5/25/2021 18:53
3286,5/25/2021 18:53
11502,5/25/2021 18:55
2177,5/25/2021 18:58
1995,5/25/2021 18:58
3646,5/25/2021 18:59
2104,5/25/2021 18:59
4871,5/25/2021 19:00
935,5/27/2021 21:29
454,5/27/2021 21:29
745,5/27/2021 21:29
155,5/27/2021 21:29
762,5/27/2021 21:29
4258,5/27/2021 21:30
463,5/27/2021 21:30
100000,5-27 21:34
4310,5-29 15:8
359,5-29 15:9
698,5-29 15:9
672,5-29 15:23
1183,5-29 15:23
350,5-29 15:23
430,5-29 15:29
2604,5-29 15:30
2891,5-29 15:30
4880,5-29 15:55
760,5-29 15:55
1562,5-29 15:55
5664,5-29 15:56
100000,5-29 15:58
